履歴を	表示
自動運転レポートを	閲覧
解説　～WaymoCruiseZOOX中国勢等～”.	2025年
2025年	3月19日
3月19日	閲覧
^	米カリフォルニア州で
米カリフォルニア州で	閲覧
一般向け自動運転シャトルバスプロジェクト開始”.JETRO.	2025年
2025年	3月19日
3月19日	閲覧
^	カリフォルニア州の
カリフォルニア州の	自動運転車試験が
自動運転車試験が	激減した
激減した	理由.
理由.	2025年
2025年	3月19日
3月19日	閲覧
^	無人運転バス
無人運転バス	定着挑む
定着挑む	レベル4公道走行解禁
レベル4公道走行解禁	8割
狭い	道
道	8割
8割	コスト重荷政府目標
コスト重荷政府目標	25年度に
25年度に	50カ所
50カ所	閲覧
.日本経済新聞(	2023年
2023年	4月2日
4月2日	).2025年
).2025年	2月
2月	19日
19日	閲覧
^	音ゲーの
音ゲーの	譜面作りを
譜面作りを	活用
AIで	活用
高速化KLabが	活用
スクスタで	活用
活用	閲覧.
所要時間を	半分に
半分に	閲覧.
”.ITmediaNEWS.	2021年9月
2021年9月	1日
1日	閲覧.
^	声優の
声優の	不祥事に
不祥事に	進む
AIが	進む
代役で	進む
活躍--中国で	進む
進む	AI音声の
AI音声の	閲覧
活用”.ZDNETJapan(	2023年
2023年	3月31日
3月31日	).2023年9月
).2023年9月	26日
26日	閲覧
^	AI配信者の
AI配信者の	歌ってみた
歌ってみた	流行人気ストリーマーの
流行人気ストリーマーの	音声学習に
音声学習に	閲覧
賛否両論集まる背景.KAI-YOUPremium.	2023年9月
2023年9月	26日
26日	閲覧
^	コナン君に
コナン君に	「#歌わせてみた
「#歌わせてみた	流行曲
流行曲	声優たち
実は	偽音声困惑する
偽音声困惑する	声優たち
声優たち	閲覧
対処しようが	ない
ない	閲覧
”.読売新聞オンライン(	2023年9月
2023年9月	26日
26日	).2023年9月
).2023年9月	26日
26日	閲覧
^	中国で
中国で	閲覧
大当たりの	AI歌手
AI歌手	可能性も
著作権侵害の	可能性も
可能性も	閲覧
”.japanese.cri.cn.	2023年9月
2023年9月	26日
26日	閲覧
^	PETERJACKSONTALKSTHEBEATLES:GETBACK.D
PETERJACKSONTALKSTHEBEATLES:GETBACK.D	23(2021年
23(2021年	11月23日
11月23日	).2023年
).2023年	11月11日
11月11日	閲覧
^uDiscoverTeam(	2022年9月
2022年9月	7日).
7日).	未発表音源等を
ビートルズ	未発表音源等を
Revolver新MIXや	未発表音源等を
未発表音源等を	加えた
加えた	スペシャル版発売”.udiscovermusic.jp.UNIVERSALMUSICJAPAN.
スペシャル版発売”.udiscovermusic.jp.UNIVERSALMUSICJAPAN.	2023年
2023年	11月11日
11月11日	閲覧
^	ビートルズ
ビートルズ	Revolverの
Revolverの	新ミックスピータージャクソンなしでは
新ミックスピータージャクソンなしでは	ありえなかった
ありえなかった	閲覧
ジャイルズ・マーティン	語る
語る	閲覧
.amass(	2022年9月
2022年9月	8日
8日	).2023年
).2023年	11月11日
11月11日	閲覧
^	TheBeatles
TheBeatles	ザ・ビートルズ最後の
ザ・ビートルズ最後の	新曲
新曲	Now&Thenベストアルバム
Now&Thenベストアルバム	赤盤
赤盤	青盤
青盤	2023エディションが
2023エディションが	閲覧
発売”.TOWERRECORDS(	2023年
2023年	10月27日
10月27日	).2023年
).2023年	11月11日
11月11日	閲覧
^	ビートルズ最後の
ビートルズ最後の	新曲
新曲	NowAndThenは
NowAndThenは	閲覧
11月	2日
2日	発売
発売	閲覧
曲数追加の	赤盤
赤盤	青盤も
青盤も	閲覧
発売決定”.amass(	2023年
2023年	10月26日
10月26日	).2023年
).2023年	11月11日
11月11日	閲覧
^	NVIDIACanvas:AIの
NVIDIACanvas:AIの	パワーを
パワーを	7月10日閲覧.
活用する.NVIDIA.	2021年
2021年	7月10日閲覧.
^	AIが
アニメの	絵を
絵を	描く
自動で	描く
描く	AIが
AIが	奪われるのか
出現――アニメーターの	仕事は
仕事は	奪われるのか
奪われるのか	7月10日閲覧.
？”.ITmediaビジネスオンライン.	2021年
2021年	7月10日閲覧.
^	漫画の
漫画の	カラー化
カラー化	11月8日閲覧.
AIが	11月8日閲覧.
肩代わり精度	100％ではなくても
100％ではなくても	11月8日閲覧.
有用な	ワケ.ITmediaNEWS.
ワケ.ITmediaNEWS.	2021年
2021年	11月8日閲覧.
^	生成される
神絵が	生成される
1分で	生成される
生成される	画像生成AI
画像生成AI	Midjourneyが
Midjourneyが	8月3日閲覧.
話題.ITmediaNEWS.	2022年
2022年	8月3日閲覧.
^Heikkilä,Melissa(	2022年9月
2022年9月	16日).
16日).	2022年
ThisartistisdominatingAI-generatedart.Andhe'snothappyaboutit.MITTechnologyReview.	2022年
2022年	10月2日
10月2日	閲覧.
^	Search-Consensus:AISearchEngineforResearch.consensus.app.
Search-Consensus:AISearchEngineforResearch.consensus.app.	2023年
2023年	12月8日
12月8日	閲覧
^Menke,Joe;Roelandse,Martijn;Ozyurt,Burak;Martone,Maryann;Bandrowski,Anita(	2020-11-20).TheRigorandTransparencyIndexQualityMetricforAssessingBiologicalandMedicalScienceMethods.iScience
2020-11-20).TheRigorandTransparencyIndexQualityMetricforAssessingBiologicalandMedicalScienceMethods.iScience	23(11):101698.doi:
23(11):101698.doi:	10.1016/j.isci.
10.1016/j.isci.	2020.101698.ISSN
2020.101698.ISSN	2589-0042.
^渡辺	二冠も
二冠も	3月28日配信
王将戦で	3月28日配信
採用対振りで	3月28日配信
最近人気の	エルモ
エルモ	elmo囲いの
elmo囲いの	組み方とは
組み方とは	3月28日配信
玉の	囲い方
囲い方	第63回-日本将棋連盟
第63回-日本将棋連盟	2019年
2019年	3月28日配信
^Claudino,JoãoGustavo;Capanema,DanieldeOliveira;deSouza,ThiagoVieira;Serrão,JulioCerca;MachadoPereira,AdrianoC.;Nassis,GeorgeP.(	2019-12).CurrentApproachestotheUseofArtificialIntelligenceforInjuryRiskAssessmentandPerformancePredictioninTeamSports:aSystematicReview(英語).SportsMedicine-Open
2019-12).CurrentApproachestotheUseofArtificialIntelligenceforInjuryRiskAssessmentandPerformancePredictioninTeamSports:aSystematicReview(英語).SportsMedicine-Open	5(1).doi:
5(1).doi:	10.1186/s
10.1186/s	40798-019-0202-3.ISSN
40798-019-0202-3.ISSN	2199-1170.PMC
2199-1170.PMC	6609928.PMID31270636.
^Bykov,I.(	2020年
2020年	7月2日).
7月2日).	2587-6295.
ArtificialIntelligenceasaSourceofPoliticalThinking.JournalofPoliticalResearch(英語).	4(2):23–33.doi:
4(2):23–33.doi:	10.12737/2587-6295-2020-23-33.ISSN
10.12737/2587-6295-2020-23-33.ISSN	2587-6295.
^	スティーブンホーキング博士
スティーブンホーキング博士	閲覧
人工知能は	意味する
人類の	終焉を
終焉を	意味する
意味する	閲覧
”.ハフポスト(	2014年
2014年	12月4日
12月4日	).2025年
).2025年	2月
2月	19日
19日	閲覧
^	もの
悪魔を	呼び出すような
呼び出すような	もの
もの	イーロン・マスク氏が
イーロン・マスク氏が	語る
語る	人工知能の
人工知能の	危険性
^ビルゲイツ氏も	懸念
人工知能の	脅威に
脅威に	懸念
^Geraci	2012,pp.
2012,pp.	1–2.
^Geraci	2012,p.
2012,p.	64.
^Pandit,Puja(	2022年12月9日).
2022年12月9日).	12月23日閲覧.
ArtificialIntelligenceforpeacebuilding-Opportunities&Challenges.VisionofHumanity(アメリカ英語).	2022年
2022年	12月23日閲覧.
^Zhang,Zonghe;Liao,Han-Teng;Wu,Xue;Xu,Zhichao(	2020年4月1日).
2020年4月1日).	1757-8981.
AScientometricAnalysisofArtificialIntelligenceandBigdataforwell-beingandhumanpotential.IOPConferenceSeries:MaterialsScienceandEngineering.	806(1).doi:
806(1).doi:	10.1088/1757-899X/
10.1088/1757-899X/	806/1/012026.ISSN
806/1/012026.ISSN	1757-8981.
^	資産運用と
資産運用と	閲覧
AI.三菱UFJ信託銀行(	2019年
2019年	11月).
11月).	2025年
2025年	7月17日
7月17日	閲覧
^	TOSHIBASPINEXMarketplace
TOSHIBASPINEXMarketplace	閲覧
日本）”.www.spinex-marketplace.toshiba.	2025年
2025年	7月17日
7月17日	閲覧
^	閲覧
運輸業向けAIソリューション|株式会社アラヤ(	2020年
2020年	12月20日
12月20日	).2025年
).2025年	7月17日
7月17日	閲覧
^	AI電話サービスドコモビジネスNTTコミュニケーションズ法人の
AI電話サービスドコモビジネスNTTコミュニケーションズ法人の	お客さま.www.ntt.com.
お客さま.www.ntt.com.	2025年
2025年	7月17日
7月17日	閲覧
^	3.(コラム)業務改革を
第2編第2章	3.(コラム)業務改革を
3.(コラム)業務改革を	通じた
通じた	コストコントロールと
コストコントロールと	閲覧
生産性向上SMBCグループ	二十年史.SMBCグループ
二十年史.SMBCグループ	二十年史
二十年史	2025年
.	2025年
2025年	7月17日
7月17日	閲覧
^	Google検索ランキングシステムの
Google検索ランキングシステムの	ご紹介|Google検索セントラル|Documentation.GoogleforDevelopers.
ご紹介|Google検索セントラル|Documentation.GoogleforDevelopers.	2025年
2025年	7月17日
7月17日	閲覧
^	利用した
協調フィルタリングと	ベクトル検索エンジンを
ベクトル検索エンジンを	利用した
利用した	商品推薦精度改善の
商品推薦精度改善の	試み|メルカリエンジニアリング.engineering.mercari.com(
試み|メルカリエンジニアリング.engineering.mercari.com(	2023年
2023年	6月
6月	12日
12日	).2025年
).2025年	7月17日
7月17日	閲覧
^	IBMWatsonを
IBMWatsonを	活用した
活用した	保険金支払業務の
保険金支払業務の	高度化について
さらなる	高度化について
高度化について	閲覧
プレスリリースかんぽ生命保険.www.jp-life.japanpost.jp.	2025年
2025年	7月17日
7月17日	閲覧
^	AIに関する
AIに関する	弁護士実務への
法的論点と	弁護士実務への
弁護士実務への	閲覧
影響”.東京弁護士会(	2018年
2018年	10月1日
10月1日	).2025年
).2025年	7月17日
7月17日	閲覧
^	気象庁における
気象庁における	機械学習の
機械学習の	利⽤.先端IT活用推進コンソーシアム(
利⽤.先端IT活用推進コンソーシアム(	2016年9月
2016年9月	16日
16日	).2025年
).2025年	7月17日
7月17日	閲覧
^	ヤマト運輸
ヤマト運輸	ルート最適化APIの
ルート最適化APIの	導入で
導入で	閲覧
業務効率化と	働き方改革を
働き方改革を	閲覧
加速”.GoogleCloud公式ブログ.	2025年
2025年	7月17日
7月17日	閲覧
^	デジタル諜報戦争の
デジタル諜報戦争の	時代
時代	４倍
ペンタゴン・FBIが	顧客
顧客	４倍
上場直後に	４倍
株価	４倍
４倍	CIAが
CIAが	出資する
出資する	謎の
謎の	ビッグデータ諜報企業の
ビッグデータ諜報企業の	正体.週刊エコノミストOnline.
正体.週刊エコノミストOnline.	2025年
2025年	7月17日
7月17日	閲覧
^Sakai,Masato;Sakurai,Akihisa;Lu,Siyuan;Olano,Jorge;Albrecht,ConradM.;Hamann,HendrikF.;Freitag,Marcus(	2024-09-23).
2024-09-23).	2407652121.
AI-acceleratedNazcasurveynearlydoublesthenumberofknownfigurativegeoglyphsandshedslightontheirpurpose(英語).PNAS.doi:	10.1073/pnas.
10.1073/pnas.	2407652121.
^Assael,Yannis;Sommerschield,Thea;Shillingford,Brendan;Bordbar,Mahyar;Pavlopoulos,John;Chatzipanagiotou,Marita;Androutsopoulos,Ion;Prag,Jonathanetal.(	2022-03).Restoringandattributingancienttextsusingdeepneuralnetworks(英語).Nature
2022-03).Restoringandattributingancienttextsusingdeepneuralnetworks(英語).Nature	603(7900):280–283.doi:
603(7900):280–283.doi:	10.1038/s
10.1038/s	41586-022-04448-z.ISSN
41586-022-04448-z.ISSN	1476-4687.
^	MITの
MITの	AI
AI	言語を
紀元前に	消滅した
消滅した	言語を
言語を	閲覧
解読”.アクシオン次世代経済メディア(	2020年
2020年	10月22日
10月22日	).2025年
).2025年	7月18日
7月18日	閲覧
^ab	Hopesfor2024fromAnastasisGermanidis,SaraHooker,PercyLiang,SashaLuccioni,PelonomiMoiloa,KevinScott(英語).Hopesfor2024fromAnastasisGermanidis,SaraHooker,PercyLiang,SashaLuccioni,PelonomiMoiloa,KevinScott(
Hopesfor2024fromAnastasisGermanidis,SaraHooker,PercyLiang,SashaLuccioni,PelonomiMoiloa,KevinScott(英語).Hopesfor2024fromAnastasisGermanidis,SaraHooker,PercyLiang,SashaLuccioni,PelonomiMoiloa,KevinScott(	2023年
2023年	12月27日
12月27日	).2023年
).2023年	12月28日
12月28日	閲覧
^ab	AIForEveryone.Coursera.
AIForEveryone.Coursera.	2023年
2023年	11月30日
11月30日	閲覧
^ab	Abeginnersguidetodemystifyingthebuzzword-AI.www.linkedin.com.
Abeginnersguidetodemystifyingthebuzzword-AI.www.linkedin.com.	2023年
2023年	11月30日
11月30日	閲覧
^	閲覧
AICanLearnFromSimpleTaskstoSolveHardProblems(英語).AICanLearnFromSimpleTaskstoSolveHardProblems(	2021年9月
2021年9月	29日
29日	).2023年
).2023年	12月11日
12月11日	閲覧
^Russell&Norvig(	2021),p.
2021),p.	987.
^ミン・スン.	ディープラーニングが
ディープラーニングが	もたらした
もたらした	AIの
AIの	価値
新たな	価値
価値	2023年
第1回”.デジタルクロス.株式会社インプレス.	2023年
2023年	6月
6月	18日
18日	閲覧
^つばさ(	2019年
2019年	11月28日).
11月28日).	7分で
7分で	わかる
わかる	AI研究
AI研究	閲覧
60年の	歴史を
歴史を	閲覧
完全解説！”.AI専門ニュースメディアAINOW.	2023年
2023年	6月
6月	18日
18日	閲覧
^	AI脅威論の
AI脅威論の	正体と
正体と	人と
人と	AIとの
AIとの	共生”.総務省.
共生”.総務省.	2023年
2023年	6月
6月	14日
14日	閲覧
^Russell&Norvig	2022,pp.
2022,pp.	49–50.
^Russell,Stuart(	2017年
2017年	8月30日).
8月30日).	0028-0836.S2CID4459076.
Artificialintelligence:Thefutureissuperintelligent.Nature(英語).	548(7669):520–521.Bibcode:
548(7669):520–521.Bibcode:	2017Natur.
2017Natur.	548..520R.doi:
548..520R.doi:	10.1038/548520a.ISSN
10.1038/548520a.ISSN	0028-0836.S2CID4459076.
^	10.1038/521415a.S2CID4459076.
Robotics:Ethicsofartificialintelligence.Nature(英語).	521:415–418.2015年
521:415–418.2015年	5月27日.doi:
5月27日.doi:	10.1038/521415a.S2CID4459076.
^Russell,Stuart(	2023年
2023年	2月
2月	21日).
21日).	41586-023-00511-5.
AIweapons:RussiaswarinUkraineshowswhytheworldmustenactaban.Nature(英語).	614:,
614:,	620–623.doi:
620–623.doi:	10.1038/d
10.1038/d	41586-023-00511-5.
^Russell&Norvig(	2021),p.
2021),p.	991.
^Russell&Norvig(	2021),pp.
2021),pp.	991–992.
^Christian(	2020),p.
2020),p.	63.
^abcdefghi	こと
AIテックを	抑え込め
抑え込め	実現する
健全で	役立つ
役立つ	AIを
AIを	実現する
実現する	ために
ために	すべき
私たちが	すべき
すべき	こと
こと	ゲイリーマーカス
^Kopel,Matthew.	閲覧
CopyrightServices:FairUse(英語).CornellUniversityLibrary.	2024年
2024年	4月26日
4月26日	閲覧
^Burgess,Matt.	HowtoStopYourDataFromBeingUsedtoTrainAI(英語).Wired.ISSN
HowtoStopYourDataFromBeingUsedtoTrainAI(英語).Wired.ISSN	1059-10282024年
1059-10282024年	4月26日
4月26日	閲覧
閲覧	.
^Belanger,Ashley(	2023年
2023年	7月10日).
7月10日).	2023年9月21日時点の
SarahSilvermansuesOpenAI,Metaforbeing"industrial-strengthplagiarists"”(英語).ArsTechnica.	2023年9月21日時点の
2023年9月21日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年9月	21日
21日	閲覧
^Krithika,K.L.(	2023年
2023年	8月21日).
8月21日).	アーカイブ
LegalChallengesSurroundOpenAI:ACloserLookattheLawsuits(英語).AnalyticsIndiaMagazine.	2023年
2023年	8月23日時点の
8月23日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年	8月23日
8月23日	閲覧
^Abshire,Elisha(	2023年
2023年	7月
7月	6日).
6日).	アーカイブ
OpenAIfacescopyrightlawsuitfromauthorsMonaAwadandPaulTremblay(英語).Dailyai.com.	2023年
2023年	7月18日時点の
7月18日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年	7月19日
7月19日	閲覧
^Belanger,Ashley(	2023年9月
2023年9月	20日).
20日).	2023年9月21日時点の
Grisham,MartinjoinauthorssuingOpenAI:"Thereisnothingfairaboutthis"[Updated]”(英語).ArsTechnica.	2023年9月21日時点の
2023年9月21日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年9月	21日
21日	閲覧
^Korn,Jennifer(	2023年9月
2023年9月	20日).
20日).	2023年9月21日時点の
GeorgeR.R.Martin,JodiPicoultandotherfamouswritersjoinAuthorsGuildinclassactionlawsuitagainstOpenAI(英語).CNNBusiness.	2023年9月21日時点の
2023年9月21日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年9月	21日
21日	閲覧
^	12月27日).オリジナルの
NYTimessuesOpenAI,Microsoftforinfringingcopyrightedworks.Reuters.(	2023年
2023年	12月27日).オリジナルの
12月27日).オリジナルの	2023年
2023年	12月30日時点における
12月30日時点における	アーカイブ
アーカイブ	閲覧
2023年	12月27日
12月27日	閲覧
^	AIInnovations.Futurepedia.
AIInnovations.Futurepedia.	2024年
2024年	5月16日時点の
5月16日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2024年9月	13日
13日	閲覧
^	G7競争サミットデジタル競争共同宣言”.
G7競争サミットデジタル競争共同宣言”.	2024年
2024年	10月4日
10月4日	閲覧
^	ThomsonReutersEnterpriseCentreGmbHetalv.ROSSIntelligenceInc.;Case:
ThomsonReutersEnterpriseCentreGmbHetalv.ROSSIntelligenceInc.;Case:	20-613;”.UnitedStatesDistrictCourt,DistrictofDelaware..
20-613;”.UnitedStatesDistrictCourt,DistrictofDelaware..	2025年
2025年	2月
2月	11日
11日	閲覧
^	Court:TrainingAIModelBasedonCopyrightedDataIsNotFairUseasaMatterofLaw.TheNationalLawReview.
Court:TrainingAIModelBasedonCopyrightedDataIsNotFairUseasaMatterofLaw.TheNationalLawReview.	2025年
2025年	2月
2月	11日
11日	閲覧
^	対AI企業の
対AI企業の	著作権訴訟で
著作権訴訟で	勝利
トムソンロイター側が	勝利
勝利	閲覧
AI訓練目的での	閲覧
フェアユース	認められず
認められず	閲覧
”.TheNationalLawReview.	2025年
2025年	2月
2月	13日
13日	閲覧
^ab	動画生成AIの
動画生成AIの	Soraは
Soraは	無断学習中止を
無断学習中止を	閲覧
国内団体	OpenAIに
OpenAIに	閲覧
要望”.日本経済新聞(	2025年
2025年	10月28日
10月28日	).2025年
).2025年	11月5日
11月5日	閲覧
^	OpenAI社に
OpenAI社に	閲覧
Sora2の	運用に関する
運用に関する	要望書を
要望書を	閲覧
提出”.コンテンツ海外流通促進機構(	2025年
2025年	10月28日
10月28日	).2025年
).2025年	11月5日
11月5日	閲覧
^	アーカイブ
TrustandDistrustinAmerica.PewResearchCenter(	2019年
2019年	7月22日
7月22日	).2024年
).2024年	2月22日時点の
2月22日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2025年	2月
2月	19日
19日	閲覧
^	トランプ政権で
トランプ政権で	少数独裁到来
少数独裁到来	閲覧
ハイテク産業複合体に	閲覧
警鐘―バイデン氏退任演説米”.時事通信.	2025年
2025年	1月
1月	16日
16日	閲覧
^	閲覧
BlackBoxAI(英語).Techopedia(	2025年
2025年	1月
1月	21日
21日	).2025年
).2025年	2月
2月	19日
19日	閲覧
^Christian(	2020),p.
2020),p.	110.
^Christian(	2020),pp.
2020),pp.	88–91.
^Christian(	2020,p.
2020,p.	83);Russell&Norvig(
83);Russell&Norvig(	2021,p.997)
^Christian(	2020),p.
2020),p.	91.
^Christian(	2020),p.
2020),p.	83.
^Christian(	2020),pp.
2020),pp.	105–108.
^Christian(	2020),pp.
2020),pp.	108–112.
^Chayka,Kyle(	2025年9月
2025年9月	13日).
13日).	AIは
AIは	閲覧
人類の	思考を
思考を	均質化している
均質化している	研究結果”.WIRED.jp.
研究結果”.WIRED.jp.	2025年
2025年	12月28日
12月28日	閲覧
^日経ビジネス電子版(	2025年
2025年	8月22日).
8月22日).	AIの
AIの	普及は
普及は	閲覧
均質化の	源泉に
源泉に	あり
革新は	あり
人の	生む
生む	異質性に
異質性に	あり
あり	閲覧
.日経ビジネス電子版.	2025年
2025年	12月28日
12月28日	閲覧
^ab	生成AIで
生成AIで	閲覧
就活生の	エントリーシートが
エントリーシートが	閲覧
均質化書類選考の	廃止続々朝日新聞
廃止続々朝日新聞	閲覧
.朝日新聞(	2025年
2025年	12月28日
12月28日	).2025年
).2025年	12月28日
12月28日	閲覧
^Goffrey(	2008),p.
2008),p.	17.
^Berdahletal.(	2023);Goffrey(
2023);Goffrey(	2008,p.
2008,p.	17);Rose(
17);Rose(	2023);Russell&Norvig(
2023);Russell&Norvig(	2021,p.995)
^Christian(	2020),p.
2020),p.	25.
^Russell&Norvig(	2021),p.
2021),p.	995.
^Christian(	2020),p.
2020),p.	67–70.
^Christian(	2020,pp.
2020,pp.	67–70);Russell&Norvig(
67–70);Russell&Norvig(	2021,pp.
2021,pp.	993–994)
^Russell&Norvig(	2021,p.
2021,p.	995);Lipartito(
995);Lipartito(	2011,p.
2011,p.	36);Goodman&Flaxman(
36);Goodman&Flaxman(	2017,p.
2017,p.	6);Christian(
6);Christian(	2020,pp.
2020,pp.	39–40,65)
^QuotedinChristian(	2020,p.
2020,p.	65).
^Luhby,Tami;Duffy,Claire(	2024年
2024年	12月
12月	6日).
6日).	閲覧
FollowingkillingofUnitedHealthcareCEO,storiesfloodsocialmediaofdeniedinsuranceclaims(英語).CNN	2024年
2024年	12月
12月	6日
6日	閲覧
^Luhby,Tami;Duffy,Claire(	2024年
2024年	12月
12月	6日).
6日).	閲覧
FollowingkillingofUnitedHealthcareCEO,storiesfloodsocialmediaofdeniedinsuranceclaims(英語).CNN	2024年
2024年	12月
12月	6日
6日	閲覧
^	閲覧
Electricity2024–Analysis(英語).IEA(	2024年
2024年	1月
1月	24日
24日	).2024年
).2024年	7月13日
7月13日	閲覧
^Calvert,Brian(	2024年
2024年	3月28日).
3月28日).	閲覧
AIalreadyusesasmuchenergyasasmallcountry.Itsonlythebeginning.”(英語).Vox.	2025年
2025年	2月
2月	19日
19日	閲覧
^Bender,EmilyM.;Gebru,Timnit;McMillan-Major,Angelina;Shmitchell,Shmargaret(	2021-03-01).OntheDangersofStochasticParrots:CanLanguageModelsbeTooBig?”.Proceedingsofthe2021ACMConferenceonFairness,Accountability,andTransparency.FAccT'
2021-03-01).OntheDangersofStochasticParrots:CanLanguageModelsbeTooBig?”.Proceedingsofthe2021ACMConferenceonFairness,Accountability,andTransparency.FAccT'	21.NewYork,NY,USA:AssociationforComputingMachinery.pp.
21.NewYork,NY,USA:AssociationforComputingMachinery.pp.	610–623.doi:
610–623.doi:	10.1145/3442188.3445922.ISBN
10.1145/3442188.3445922.ISBN	978-1-4503-8309-7
^Dhar,Payal(	2020-08-01).Thecarbonimpactofartificialintelligence(英語).NatureMachineIntelligence
2020-08-01).Thecarbonimpactofartificialintelligence(英語).NatureMachineIntelligence	2(8):423–425.doi:
2(8):423–425.doi:	10.1038/s
10.1038/s	42256-020-0219-9.ISSN
42256-020-0219-9.ISSN	2522-5839.オリジナルの
2522-5839.オリジナルの	2024-08-14時点における
2024-08-14時点における	アーカイブ
アーカイブ	.
^Halper,Evan;O'Donovan,Caroline(	2024年
2024年	6月
6月	21日).
21日).	AIisexhaustingthepowergrid.Techfirmsareseekingamiraclesolution.”(英語).WashingtonPost
^TylerKendall(	2024年9月
2024年9月	30日).
30日).	エヌビディアＣＥＯ
エヌビディアＣＥＯ	閲覧
原発は	選択肢
良い	選択肢
選択肢	閲覧
データセンター電力供給で	閲覧
”.Bloomberg.com.	2025年
2025年	2月
2月	19日
19日	閲覧
^望月崇;小田翔子(	2024年
2024年	10月18日).
10月18日).	エヌビディア出資の
エヌビディア出資の	日本企業
日本企業	データセンター新設検討”.ブルームバーグ
原発近くで	データセンター新設検討”.ブルームバーグ
^	Microsoft
Microsoft	電力を
スリーマイル島原発の	電力を
電力を	対応する
独占購入へAI需要に	対応する
対応する	27日)
20年契約”.LedgeInc.(	2024年9月
2024年9月	27日)
^	17日)
米グーグルや	アマゾンが
アマゾンが	17日)
小型モジュール原子炉からの	電力購入などを
電力購入などを	発表”.日本貿易振興機構
発表”.日本貿易振興機構	17日)
ジェトロ.(	2024年
2024年	10月
10月	17日)
^	原発被災地に
原発被災地に	18日)
データセンター	AI半導体で
AI半導体で	18日)
新産業育成”.日本経済新聞.(	2024年9月
2024年9月	18日)
^	AIDataCentersandtheComingYSPowerDemandSurge.GoldmanSachs.
AIDataCentersandtheComingYSPowerDemandSurge.GoldmanSachs.	2024年
2024年	5月3日時点の
5月3日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2025年	2月
2月	19日
19日	閲覧
^Ryan,Carol(	2024年
2024年	4月12日).
4月12日).	閲覧
Energy-GuzzlingAIIsAlsotheFutureofEnergySavings(英語).WSJ.	2025年
2025年	2月
2月	19日
19日	閲覧
^Russell&Norvig(	2021),p.
2021),p.	989.
^abRussell&Norvig(	2021),pp.
2021),pp.	987–990.
^Russell&Norvig(	2021),p.
2021),p.	988.
^Robitzski(	2018);Sainato(2015)
^Buckley,Chris;Mozur,Paul(	2019年
2019年	5月22日).
5月22日).	閲覧
HowChinaUsesHigh-TechSurveillancetoSubdueMinorities(英語).TheNewYorkTimes.ISSN	0362-43312025年
0362-43312025年	2月
2月	19日
19日	閲覧
^	アーカイブ
SecuritylapseexposedaChinesesmartcitysurveillancesystem(	2019年
2019年	5月3日
5月3日	).2021年
).2021年	3月7日時点の
3月7日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2020年9月	14日
14日	閲覧
^abE.McGaughey,'WillRobotsAutomateYourJobAway?FullEmployment,BasicIncome,andEconomicDemocracy'(	2022),51(3)IndustrialLawJournal
2022),51(3)IndustrialLawJournal	511–559.Archived27May2023attheWaybackMachine..
^Ford&Colvin(	2015);McGaughey(2022)
^Arntz,Gregory&Zierahn(	2016),p.
2016),p.	33.
^Lohr(	2017);Frey&Osborne(
2017);Frey&Osborne(	2017);Arntz,Gregory&Zierahn(
2017);Arntz,Gregory&Zierahn(	2016,p.33)
^Zhou,Viola(	2023年
2023年	4月11日).
4月11日).	AIisalreadytakingvideogameillustrators'jobsinChina.RestofWorld.
AIisalreadytakingvideogameillustrators'jobsinChina.RestofWorld.	2024年
2024年	2月21日時点の
2月21日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年	8月17日
8月17日	閲覧
^Carter,Justin(	2023年
2023年	4月11日).
4月11日).	China'sgameartindustryreportedlydecimatedbygrowingAIuse.GameDeveloper.
China'sgameartindustryreportedlydecimatedbygrowingAIuse.GameDeveloper.	2023年
2023年	8月17日時点の
8月17日時点の	オリジナルより
オリジナルより	アーカイブ
アーカイブ	閲覧
2023年	8月17日
8月17日	閲覧
^	閲覧
DataPoints:ReportclaimsAIwillcreatemillionsofnetjobs(英語).DataPoints:ReportclaimsAIwillcreatemillionsofnetjobs(	2025年
2025年	1月
1月	13日
13日	).2025年
).2025年	1月
1月	17日
17日	閲覧
^	ＡＩに
ＡＩに	奪われる
奪われる	職は
職は	５％
わずか	５％
５％	閲覧
ＭＩＴの	著名経済学者が
著名経済学者が	閲覧
現実チェック”.Bloomberg.	2024年
2024年	10月3日
10月3日	閲覧
^	MITの
MITの	アセモグル教授が
アセモグル教授が	閲覧
AI開発に	警戒する
警戒する	理由.独立行政法人経済産業研究所.
理由.独立行政法人経済産業研究所.	2023年
2023年	6月
6月	26日
26日	閲覧
人間の	主体性奪う
主体性奪う	AI開発を
AI開発を	抑制せよ
